100 100
0 42 1
1 73 1
2 15 1
3 64 1
4 29 1
5 88 1
6 37 1
7 56 1
8 12 1
9 45 1
10 67 1
11 23 1
12 89 1
13 54 1
14 32 1
15 78 1
16 46 1
17 19 1
18 61 1
19 30 1
20 82 1
21 55 1
22 28 1
23 76 1
24 43 1
25 14 1
26 69 1
27 38 1
28 85 1
29 57 1
30 21 1
31 74 1
32 47 1
33 16 1
34 62 1
35 33 1
36 83 1
37 58 1
38 25 1
39 77 1
40 44 1
41 13 1
42 68 1
43 39 1
44 86 1
45 59 1
46 27 1
47 75 1
48 48 1
49 17 1
50 63 1
51 34 1
52 84 1
53 60 1
54 26 1
55 79 1
56 50 1
57 18 1
58 65 1
59 36 1
60 87 1
61 61 1
62 22 1
63 72 1
64 49 1
65 10 1
66 66 1
67 35 1
68 80 1
69 51 1
70 20 1
71 73 1
72 52 1
73 11 1
74 64 1
75 31 1
76 81 1
77 58 1
78 24 1
79 70 1
80 47 1
81 15 1
82 69 1
83 38 1
84 85 1
85 56 1
86 23 1
87 77 1
88 45 1
89 14 1
90 68 1
91 37 1
92 86 1
93 59 1
94 28 1
95 75 1
96 46 1
97 16 1
98 63 1
99 34 1
