2000 2000
0 0 1
0 111 1
0 214 1
0 579 1
0 620 1
0 779 1
0 1154 1
0 1384 1
0 1640 1
0 1657 1
0 1734 1
0 1808 1
4 4 1
4 557 1
4 1019 1
4 1271 1
4 1511 1
7 7 1
7 756 1
8 8 5
8 48 1
8 52 1
8 55 1
8 90 1
8 92 1
8 118 1
8 121 1
8 173 1
8 192 1
8 275 1
8 354 1
8 511 1
8 519 1
8 529 1
8 536 1
8 545 1
8 555 1
8 572 1
8 577 1
8 713 1
8 719 1
8 755 1
8 759 1
8 779 1
8 797 1
8 810 1
8 861 1
8 876 1
8 1032 1
8 1074 1
8 1312 1
8 1314 1
8 1316 1
8 1321 1
8 1340 1
8 1375 1
8 1385 1
8 1390 1
8 1435 1
8 1465 1
8 1497 1
8 1595 1
8 1668 1
8 1722 1
8 1792 1
8 1811 1
8 1875 1
8 1883 1
8 1899 1
8 1961 1
8 1990 1
9 9 1
9 1203 1
9 1504 1
10 10 1
10 517 1
10 1118 1
11 11 1
12 12 1
13 13 2
13 293 1
13 1190 1
13 1732 1
13 1903 1
14 14 2
14 106 1
14 267 1
14 426 1
14 590 1
14 748 1
14 855 1
14 1113 1
14 1384 1
14 1845 1
15 15 1
15 857 1
16 16 1
17 17 2
17 20 1
17 29 1
17 98 1
17 182 1
17 256 2
17 278 1
17 343 1
17 525 1
17 578 1
17 589 1
17 697 1
17 781 1
17 809 1
17 959 1
17 1027 1
17 1038 1
17 1106 1
17 1249 1
17 1389 1
17 1441 1
17 1474 1
17 1511 1
17 1564 1
17 1830 1
17 1848 1
18 18 1
20 17 1
20 20 2
20 29 1
20 98 1
20 182 1
20 256 1
20 525 1
20 578 1
20 589 1
20 697 1
20 781 1
20 809 1
20 959 1
20 1027 1
20 1038 1
20 1249 1
20 1389 1
20 1441 1
20 1474 1
20 1477 1
20 1511 1
20 1727 1
20 1830 1
20 1848 1
21 21 1
21 132 1
21 212 1
21 303 1
21 319 1
21 340 1
21 565 1
21 801 1
21 957 1
21 960 1
21 1051 1
21 1091 1
21 1126 1
21 1218 1
21 1309 1
21 1531 1
21 1596 1
21 1726 1
21 1944 1
22 22 1
23 23 1
23 212 1
23 244 1
23 473 1
23 521 1
23 674 1
23 689 1
23 817 1
23 841 1
23 947 1
23 950 1
23 1007 1
23 1074 1
23 1219 1
23 1269 1
23 1316 1
23 1395 1
23 1533 1
23 1602 1
23 1684 1
23 1698 1
23 1810 1
23 1833 1
23 1998 1
27 27 1
27 73 1
27 165 1
27 239 1
27 375 1
27 421 1
27 596 1
27 609 1
27 781 1
27 1006 1
27 1151 1
27 1508 1
27 1994 1
29 17 1
29 20 1
29 29 3
29 98 1
29 182 1
29 256 1
29 339 1
29 525 1
29 578 1
29 589 1
29 697 1
29 781 1
29 809 1
29 959 1
29 1027 1
29 1038 1
29 1249 1
29 1389 1
29 1441 1
29 1474 1
29 1511 1
29 1797 1
29 1830 1
29 1848 1
32 32 1
32 1017 1
32 1105 1
32 1222 1
34 34 1
34 226 1
34 1365 1
37 37 1
38 38 2
38 63 1
38 65 1
38 102 1
38 179 1
38 213 1
38 303 1
38 348 1
38 395 1
38 407 1
38 431 1
38 436 1
38 519 1
38 657 1
38 811 1
38 822 1
38 827 1
38 844 1
38 856 1
38 865 1
38 891 1
38 928 1
38 933 1
38 990 1
38 995 1
38 1040 1
38 1118 1
38 1190 1
38 1192 1
38 1211 1
38 1223 1
38 1252 1
38 1331 1
38 1361 1
38 1439 1
38 1441 1
38 1592 1
38 1659 1
38 1677 1
38 1757 1
38 1783 1
38 1903 1
38 1972 1
39 39 1
